StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.00,17,11089,08:38
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.00,82,6901,08:38
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.00,24,1835,08:38
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.00,125,5010,08:38
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.00,500,1496,08:38
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.00,2,463,08:38
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.00,179,340,08:38
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.00,20,161,08:38
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.00,14,272,08:38
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.00,10,10,08:38
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.00,10,10,08:38
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.00,20,149,08:38
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.00,17,19,08:38
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.00,5,41,08:38
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.00,1,2,08:38
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.00,1000,1492,08:38
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.00,926,1502,08:38
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.00,239,2437,08:38
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.00,842,1990,08:38
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.00,400,1086,08:38
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.00,100,2927,08:38
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.00,10,4525,08:38
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.00,362,4375,08:38
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.00,2104,3570,08:38
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.00,130,2123,08:38
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.00,121,3732,08:38
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.00,247,8596,08:38
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.00,1875,5574,08:38
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.00,0.00,2954,8774,08:38
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.00,0.00,1299,10278,08:38
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.02,0.00,0.00,4221,13830,08:38
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.03,0.00,0.00,9182,31370,08:38
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.03,0.00,0.00,6506,17022,08:38
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.07,0.00,0.00,16695,19303,08:38
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.20,0.00,0.00,30955,23787,08:38
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,0.64,0.00,0.00,37977,16542,08:38
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,1.41,0.00,0.00,19311,10732,08:38
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,2.34,0.00,0.00,17534,5375,08:38
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,3.30,0.00,0.00,2367,3547,08:38
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,4.25,0.00,0.00,894,1553,08:38
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,5.23,0.00,0.00,294,1009,08:38
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,6.20,0.00,0.00,165,1369,08:38
