StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,12:37
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,12:37
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,12:37
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,12:37
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,12:37
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,12:37
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,12:37
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,12:37
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,12:37
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,12:37
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,12:37
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.01,400,1086,12:37
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.01,2400,2927,12:37
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.01,10,4525,12:37
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.01,362,4375,12:37
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.01,2,3570,12:37
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.01,5,2123,12:37
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.01,1240,3732,12:37
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.01,75,8596,12:37
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.01,64,5574,12:37
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.00,0.01,537,8774,12:37
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.00,0.01,218,10278,12:37
