StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00061000,61.0,2015-06-12,Call,0.01,0.00,0.05,10,166,18:59:05.049000
FSLR,FSLR150612C00061500,61.5,2015-06-12,Call,0.67,0.00,0.05,87,84,18:59:05.125000
FSLR,FSLR150612C00062000,62.0,2015-06-12,Call,0.60,0.00,0.05,1,13,18:59:05.373000
FSLR,FSLR150612C00062500,62.5,2015-06-12,Call,0.09,0.00,0.05,1,5,18:59:05.633000
FSLR,FSLR150612C00065000,65.0,2015-06-12,Call,0.34,0.00,0.05,42,42,18:59:05.896000
FSLR,FSLR150612P00043500,43.5,2015-06-12,Put,0.13,0.00,0.20,81,81,18:59:05.908000
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.05,5,5,18:59:05.920000
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.50,1,1,18:59:05.939000
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.07,1,15,18:59:05.968000
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.03,0.08,705,106,18:59:06.001000
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.03,0.10,5,55,18:59:06.041000
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.04,0.09,3,191,18:59:06.093000
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.03,0.26,1,120,18:59:06.147000
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.09,0.16,31,353,18:59:06.213000
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.17,0.22,7,312,18:59:06.287000
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.30,0.38,142,311,18:59:06.364000
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.51,0.61,30,259,18:59:06.481000
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.82,0.97,5,87,18:59:06.604000
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,1.19,1.37,10,108,18:59:06.717000
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,1.35,1.85,10,60,18:59:06.844000
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,1.74,2.63,1,14,18:59:07.007000
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,2.22,3.20,4,82,18:59:07.148000
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,2.67,3.65,10,14,18:59:07.310000
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,3.15,4.15,8,13,18:59:07.481000
