StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612P00059500,59.5,2015-06-12,Put,4.10,0.00,0.00,24,32,08:38
FSLR,FSLR150612P00060000,60.0,2015-06-12,Put,4.47,0.00,0.00,1,1,08:38
FSLR,FSLR150612P00060500,60.5,2015-06-12,Put,5.05,0.00,0.00,12,12,08:38
FSLR,FSLR150612P00061500,61.5,2015-06-12,Put,3.80,0.00,0.00,3,3,08:38
FSLR,FSLR150612P00062500,62.5,2015-06-12,Put,5.00,0.00,0.00,1,0,08:38
FSLR,FSLR150612P00063000,63.0,2015-06-12,Put,7.67,0.00,0.00,5,0,08:38
FSLR,FSLR150612P00063500,63.5,2015-06-12,Put,5.80,0.00,0.00,2,1,08:38
FSLR,FSLR150612P00064000,64.0,2015-06-12,Put,6.20,0.00,0.00,13,13,08:38
FSLR,FSLR150612P00064500,64.5,2015-06-12,Put,5.95,0.00,0.00,3,0,08:38
FSLR,FSLR150612P00065000,65.0,2015-06-12,Put,9.37,0.00,0.00,12,0,08:38
FSLR,FSLR150612P00065500,65.5,2015-06-12,Put,7.40,0.00,0.00,1,1,08:38
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:39
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:39
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:39
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:39
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,0.00,0.00,1,1,08:39
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,0.00,0.00,2,2,08:39
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,0.00,0.00,9,38,08:39
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,0.00,0.00,1,3,08:39
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,0.00,0.00,370,351,08:39
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,0.00,0.00,868,735,08:39
